Name,Number,Hours,Title,Description,Prerequisites,Concurrent Prerequisites,Semesters
AAST,201,3,Intro African Amer Study,"A basic outline of the diversity and complexity of the African-American experience in the United States: the early academic and social concerns of Black Studies advocates; the changes in the field's objectives that arise from its connections to contemporary social movements for Black Power, women's liberation and multiculturalism; and its major theoretical and critical debates.",,,FS
AAST,221,3,Contemporary In(queer)ies,"In her essay “Queer and Now,” Eve Kosofsky Sedgwick offers a rumination on the political, epistemological and pedagogical imports of “queer” at that moment: “ That’s one of the things that ‘queer’ can refer to: the open mesh of possibilities, gaps, overlaps, dissonances and resonances, lapses and excesses of meaning when the constituent elements of anyone’s gender, of anyone’s sexuality aren’t made (or can’t be made) to signify monolithically.” This 3 credit hour course, takes up Sedgwick’s suggestion of the possibilities of “queer” to consider the development of queer theory, queer studies, and queer politics. Although this course is organized thematically across a number of disciplines, it also resists a kind of stringent categorization or segmentation- mirroring the energy that has characterized this interdisciplinary field. While paying attention to the seemingly endless possibilities associated with queer theory, this course is profoundly committed to as Sedgwick argues to keep “same-sex sexual expression at “the terms definitional center,” as not to “dematerialize any possibility of queerness itself.”.",,,FS
AAST,222,3,LGBTQ Histories,"During the past decade, lesbian, gay, bisexual, transgender and queer (LGBTQ) Americans have achieved various forms of empowerment and visibility in the nation’s political, legal, social, and cultural arenas. However, LGBTQ persons continue to face various barriers to full equality and well-being including employment discrimination, high rates of homelessness among teens, violence, and inadequate access to health care. This 3 credit hour course places will focus on the events emergence of the last decade into a longer history of LGBTQ communities, visibility and politics that begins LGBTQ community in the late nineteenth 20th century and ends in the early twenty-first century. American Culture. During the semester, we will explore the historical development of LGBTQ identities, communities, politics, and cultural production. Together, we will analyze an array of materials including scholarly texts, oral histories, newspapers, films, photographs, art and political ephemera.",,,FS
AAST,225,3,Black Women's Experiences in the South,"Southern/Black/Woman. This demographic descriptor encompasses notable figures - Ida B. Wells, Bessie Smith, Condoleezza Rice, Beyoncé – and millions whose names and individual stories are often marginal to American memory and public policy. This course examines various aspects of Southern Black Women’s lives and labors, pain and pleasures, adventures and adversities from the nineteenth century to the present day. Students will analyze an array of materials including: memoirs/ autobiographies, oral histories, secondary scholarship, census data, paintings, photographs, film, television and music. Using in-class activities, discussion and writing assignments, this course addresses one central question: What can the academic study of Black Women’s experiences in the South reveal about gender, race, class, and sexuality in the United States (past and present)?.",,,FS
AAST,249,3,African American Literature,"Survey of African American literature from its earliest expressions to the present. In order to identify the aesthetics of the African American literary tradition, the course material includes spirituals, slave narratives, poetry, drama, autobiography, fiction, and nonfiction.",(Undergraduate level EN 101 with minimum Grade of C- and Undergraduate level EN 102 with minimum Grade of C-) or (Undergraduate level EN 103 with minimum Grade of C- or Undergraduate level EN 104 with minimum Grade of C-) or (Undergraduate level EN 120 with minimum Grade of C- and Undergraduate level EN 121 with minimum Grade of C-),,FS
AAST,302,3,The Black Church,A survey of mainstream Christian expressions of black spirituality as well as other forms of sacred collective consciousness. Study of local churches and theology is encouraged.,,,FS
AAST,303,3,Education Of Southern Blacks,"A study of the ""miseducation"" of Africans in America. The course explores education for blacks from West Africa at the middle of the second millennium and early American society to the emergence of the separate school system of the 19th and 20th centuries.",,,FS
AAST,304,3,"Civil War Still Lives': Race, Memory, and the Politics of Reunion","For over 150 years, the Civil War occupies a prominent place in our national memory and has served to both unite and divide Americans. This course will explore the various ways in which Americans have chosen to remember their civil war through reunions, monuments and memorials, histories, literature, film, museums as well as other forms of popular culture. We will examine how memory of the war changed over time as well as the political implications for Civil War memory, the nation, and identity in understanding both historical and contemporary debates.",,,FS
AAST,319,3,19th Century Black History,"Role of black Americans in American life from the 17th century to the beginning of the 20th century, with emphasis on the institutions and events of the 1800s.",,,FS
AAST,322,3,Slave Resistance,"This course introduces students to the major themes, questions, primary sources, monographs, and fiction in regards to slave resistance in the United States and Atlantic World. Specifically, course readings and assignments will revolve around agency and empowerment of enslaved individuals, power relations between masters and enslaved individuals and the various forms of resistance (everyday acts, runaways, rebellions, and marronage).",,,FS
AAST,323,3,Hate Crimes,"What are the causes and consequences of bias-motivated crimes? What are the larger social and political contexts? In this class, students will examine how bias-motivated violence receives attention in the media, how and why hate crimes legislation came to be seen as a necessary legal tool to curb crimes based on race, gender, gender identity, religion, and sexual orientation. Students will also explore the opposition to such laws and the degree to which communities are able to respond to incidents of bias-motivated violence. Students will also explore the proliferation of hate groups and the impact of those groups on social and political debates over hate crimes laws.",,,FS
AAST,333,3,Black Family Studies,"The field of Black Family Studies is an area that has received very little attention in the last decade. This course will use historical literature to address issues that have impacted Black families in America. Throughout this course, we investigate the various reasons why the majority of Black families are not the traditional units that were prevalent before the turn of the 20th century. A broad perspective will be taken to provide a balanced understanding of gender and the challenges men and women face from patriarchy, racism, mass incarceration, poverty, and economic exploitation. Students will be responsible for reading the assigned text and actively engage in class discussion.",,,FS
